file_id,file_name,file_type,source,file_path,size_kb,created_at
1,10554236.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/10554236.pdf,47.15,2026-06-13 20:08:09
2,10674770.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/10674770.pdf,24.57,2026-06-13 20:08:09
3,11163645.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/11163645.pdf,21.81,2026-06-13 20:08:09
4,11759079.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/11759079.pdf,22.23,2026-06-13 20:08:09
5,12065211.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/12065211.pdf,23.74,2026-06-13 20:08:09
6,12202337.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/12202337.pdf,22.25,2026-06-13 20:08:09
7,12338274.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/12338274.pdf,29.68,2026-06-13 20:08:09
8,12442909.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/12442909.pdf,43.99,2026-06-13 20:08:09
9,12780508.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/12780508.pdf,24.86,2026-06-13 20:08:09
10,12802330.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/12802330.pdf,23.15,2026-06-13 20:08:09
11,13072019.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/13072019.pdf,23.85,2026-06-13 20:08:09
12,13130984.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/13130984.pdf,18.98,2026-06-13 20:08:09
13,13294301.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/13294301.pdf,22.31,2026-06-13 20:08:09
14,13491889.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/13491889.pdf,23.68,2026-06-13 20:08:09
15,13701259.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/13701259.pdf,24.61,2026-06-13 20:08:09
16,14055988.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14055988.pdf,20.18,2026-06-13 20:08:09
17,14126433.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14126433.pdf,23.95,2026-06-13 20:08:09
18,14224370.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14224370.pdf,19.0,2026-06-13 20:08:09
19,14449423.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14449423.pdf,31.87,2026-06-13 20:08:09
20,14470533.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14470533.pdf,19.77,2026-06-13 20:08:09
21,14491649.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14491649.pdf,23.03,2026-06-13 20:08:09
22,14496667.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/14496667.pdf,20.76,2026-06-13 20:08:09
23,15289348.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/15289348.pdf,27.84,2026-06-13 20:08:09
24,15363277.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/15363277.pdf,21.47,2026-06-13 20:08:09
25,15592167.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/15592167.pdf,22.63,2026-06-13 20:08:09
26,15821633.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/15821633.pdf,23.99,2026-06-13 20:08:09
27,15906625.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/15906625.pdf,24.53,2026-06-13 20:08:09
28,16237710.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/16237710.pdf,22.61,2026-06-13 20:08:09
29,17306905.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/17306905.pdf,37.24,2026-06-13 20:08:09
30,17407184.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/17407184.pdf,21.03,2026-06-13 20:08:09
31,17556527.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/17556527.pdf,25.73,2026-06-13 20:08:09
32,18132924.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/18132924.pdf,42.56,2026-06-13 20:08:09
33,18365791.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/18365791.pdf,21.53,2026-06-13 20:08:09
34,18569929.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/18569929.pdf,22.25,2026-06-13 20:08:09
35,18635654.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/18635654.pdf,20.78,2026-06-13 20:08:09
36,18669563.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/18669563.pdf,20.57,2026-06-13 20:08:09
37,19446337.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/19446337.pdf,30.71,2026-06-13 20:08:09
38,19545827.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/19545827.pdf,23.72,2026-06-13 20:08:09
39,20082776.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20082776.pdf,31.38,2026-06-13 20:08:09
40,20253563.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20253563.pdf,19.32,2026-06-13 20:08:09
41,20345168.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20345168.pdf,20.19,2026-06-13 20:08:09
42,20393721.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20393721.pdf,20.75,2026-06-13 20:08:09
43,20624984.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20624984.pdf,22.01,2026-06-13 20:08:09
44,21031285.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21031285.pdf,21.95,2026-06-13 20:08:09
45,21338490.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21338490.pdf,21.72,2026-06-13 20:08:09
46,21763056.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21763056.pdf,22.46,2026-06-13 20:08:09
47,21794875.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21794875.pdf,50.73,2026-06-13 20:08:09
48,21853199.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21853199.pdf,22.96,2026-06-13 20:08:09
